R, P, T, Rho, Kappa, Epsilon, Qm, L_r, dlPlT
0.848942578002424, 110551897156.17305, 545192.6471297188, 0.0015141745860205872, 22.935380945182054, 2.9310707916031338e-15, 7.187528287821987e-05, 3.826e+33, 4.593202936003569
0.849940160350253, 106616247361.02434, 540906.9680246364, 0.0014718259081642408, 23.042602167504107, 2.5684883676963494e-15, 6.958634644516071e-05, 3.826e+33, 4.593293673763683
0.8509377426980819, 102799931443.84436, 536631.45293711, 0.0014304351376223713, 23.150942332774424, 2.2484569096206333e-15, 6.735637376253933e-05, 3.826e+33, 4.593384342180782
0.8519353250459109, 99099911049.62325, 532366.0666329551, 0.00138998516553161, 23.260421193647947, 1.966256970855942e-15, 6.518419823775545e-05, 3.826e+33, 4.593474943867189
0.8529329073937397, 95513212592.15367, 528110.7740466971, 0.0013504591267615872, 23.371058989114143, 1.717661720237392e-15, 6.306866975103187e-05, 3.826e+33, 4.59356548142136
0.8539304897415687, 92036926067.7644, 523865.54028081323, 0.0013118403968542171, 23.48287645991956, 1.4988887816747073e-15, 6.1008654502536785e-05, 3.826e+33, 4.593655957427344
0.8549280720893976, 88668203888.98637, 519630.33060498454, 0.001274112589001711, 23.595894864590136, 1.3065564603000818e-15, 5.900303485950609e-05, 3.826e+33, 4.593746374454596
0.8559256544372266, 85404259737.82315, 515405.1104553571, 0.0012372595510628237, 23.71013599608065, 1.1376439850601563e-15, 5.705070920547506e-05, 3.826e+33, 4.593836735059205
0.8569232367850554, 82242367438.30307, 511189.8454338137, 0.0012012653626168434, 23.825622199080595, 9.894554264795717e-16, 5.5150591790398273e-05, 3.826e+33, 4.593927041782996
0.8579208191328844, 79179859847.99565, 506984.5013072549, 0.0011661143320548521, 23.942376388007112, 8.595869749992041e-16, 5.3301612581213575e-05, 3.826e+33, 4.594017297154726
0.8589184014807133, 76214127768.18024, 502789.0440068911, 0.0011317909937077768, 24.060422065717432, 7.458972900639382e-16, 5.150271711418242e-05, 3.826e+33, 4.594107503689533
0.8599159838285423, 73342618872.35971, 498603.4396275445, 0.0010982801050107708, 24.179783342974908, 6.46480653124386e-16, 4.975286634700815e-05, 3.826e+33, 4.594197663889471
0.8609135661763712, 70562836652.81743, 494427.65442696156, 0.0010655666437034582, 24.30048495870473, 5.5964267904187525e-16, 4.805103651406295e-05, 3.826e+33, 4.594287780244067
0.8619111485242001, 67872339384.920364, 490261.65482513665, 0.0010336358050655919, 24.422552301077253, 4.838783601550144e-16, 4.639621898006041e-05, 3.826e+33, 4.5943778552294905
0.862908730872029, 65268739108.87645, 486105.4074036459, 0.001002472999187679, 24.54601142945931, 4.1785223558190667e-16, 4.478742009672576e-05, 3.826e+33, 4.594467891310027
0.863906313219858, 62749700628.65871, 481958.878904993, 0.0009720638482761236, 24.670889097275552, 3.603804952917391e-16, 4.3223661059355045e-05, 3.826e+33, 4.594557890936934
0.8649038955676869, 60312940527.81373, 477822.0362319654, 0.0009423941839924616, 24.797212775825095, 3.1041484417370687e-16, 4.170397776515067e-05, 3.826e+33, 4.594647856549903
0.8659014779155159, 57956226201.876595, 473694.846447003, 0.0009134500448262487, 24.92501067910034, 2.67027965845684e-16, 4.022742067122387e-05, 3.826e+33, 4.594737790576342
0.8668990602633447, 55677374907.11882, 469577.27677157795, 0.000885217673501184, 25.05431178965858, 2.2940043935988105e-16, 3.8793054655150705e-05, 3.826e+33, 4.594827695431703
0.8678966426111737, 53474252825.36055, 465469.2945855866, 0.0008576835144140463, 25.185145885599017, 1.9680897435323123e-16, 3.739995887519498e-05, 3.826e+33, 4.594917573519736
0.8688942249590026, 51344774144.58259, 461370.86742675403, 0.0008308342111060344, 25.317543568701396, 1.686158416274567e-16, 3.604722663197446e-05, 3.826e+33, 4.595007427232912
0.8698918073068316, 49286900155.078125, 457281.962990051, 0.0008046566037661018, 25.451536293785857, 1.4425938669366507e-16, 3.473396523112626e-05, 3.826e+33, 4.5950972589518395
0.8708893896546605, 47298638360.88837, 453202.54912712367, 0.0007791377267658864, 25.587156399356594, 1.232455235413857e-16, 3.345929584674945e-05, 3.826e+33, 4.595187071046046
